书名,作者,评分,评价,评价人数,出版日期,单价,URL
红楼梦,[清] 曹雪芹 著 ,9.6,都云作者痴，谁解其中味？,368951, 1996-12 , 59.70元,https://book.douban.com/subject/1007305/
活着,余华 ,9.4,生的苦难与伟大,688709, 2012-8-1 , 20.00元,https://book.douban.com/subject/4913064/
1984,[英] 乔治·奥威尔 ,9.4,栗树荫下，我出卖你，你出卖我,238349, 2010-4-1 , 28.00,https://book.douban.com/subject/4820710/
百年孤独,[哥伦比亚] 加西亚·马尔克斯 ,9.3,魔幻现实主义文学代表作,373390, 2011-6 , 39.50元,https://book.douban.com/subject/6082808/
三体全集,刘慈欣 ,9.4,地球往事三部曲,132662, 2012-1-1 , 168.00元,https://book.douban.com/subject/6518605/
飘,[美国] 玛格丽特·米切尔 ,9.3,革命时期的爱情，随风而逝,192499, 2000-9 , 40.00元,https://book.douban.com/subject/1068920/
哈利·波特,J.K.罗琳 (J.K.Rowling) ,9.7,从9¾站台开始的旅程,70353, 2008-12-1 , 498.00元,https://book.douban.com/subject/24531956/
三国演义（全二册）,[明] 罗贯中 ,9.3,是非成败转头空,149212, 1998-05 , 39.50元,https://book.douban.com/subject/1019568/
房思琪的初恋乐园,林奕含 ,9.2,向死而生的文学绝唱,308588, 2018-2 , 45.00元,https://book.douban.com/subject/27614904/
动物农场,[英] 乔治·奥威尔 ,9.3,太阳底下并无新事,131771, 2007-3 , 10.00元,https://book.douban.com/subject/2035179/
福尔摩斯探案全集（上中下）,[英] 阿·柯南道尔 ,9.3,名侦探的代名词,117588, 53.00元,68.00元,https://book.douban.com/subject/1040211/
白夜行,[日] 东野圭吾 ,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事,390210, 2013-1-1 , 39.50元,https://book.douban.com/subject/10554308/
小王子,[法] 圣埃克苏佩里 ,9.0,献给长成了大人的孩子们,687462, 2003-8 , 22.00元,https://book.douban.com/subject/1084336/
安徒生童话故事集,（丹麦）安徒生 ,9.2,为了争取未来的一代,114331, 1997-08 , 25.00元,https://book.douban.com/subject/1046209/
天龙八部,金庸 ,9.1,有情皆孽，无人不冤,121030, 1994-5 , 96.00元,https://book.douban.com/subject/1255625/
撒哈拉的故事,三毛 ,9.2,游荡的自由灵魂,138359, 2003-8 , 15.80元,https://book.douban.com/subject/1060068/
杀死一只知更鸟,[美] 哈珀·李 ,9.2,有一种东西不能遵循从众原则，那就是——人的良心,119358, 2012-9 , 32.00元,https://book.douban.com/subject/6781808/
呐喊,鲁迅 ,9.0,新文学的第一声呐喊,133457, 1973-3 , 0.36元,https://book.douban.com/subject/1449351/
明朝那些事儿（1-9）,当年明月 ,9.1,不拘一格的历史书写,137738, 2009-4 , 358.20元,https://book.douban.com/subject/3674537/
沉默的大多数,王小波 ,9.1,沉默是沉默者的通行证,132981, 1997-10 , 27.00元,https://book.douban.com/subject/1054685/
失踪的孩子,[意] 埃莱娜·费兰特 ,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。,59752, 2018-7 , 62.00元,https://book.douban.com/subject/30172069/
新名字的故事,[意] 埃莱娜·费兰特 ,9.1,探索青年时代的激情、困惑、挣扎、背叛和失去,70477, 2017-4 , 59.00元,https://book.douban.com/subject/26986954/
局外人,[法] 阿尔贝·加缪 ,9.0,人生在世，永远也不该演戏作假,195360, 2010-8 , 22.00元,https://book.douban.com/subject/4908885/
中国历代政治得失,钱穆 ,9.2,一部简明的“中国政治制度史”,58747, 2001 , 12.00元,https://book.douban.com/subject/1003479/
人类简史,[以色列] 尤瓦尔·赫拉利 ,9.1,跟着人类一同走过十万年,173642, 2014-11 , 68.00元,https://book.douban.com/subject/25985021/
