书名,作者,评分,评价,评价人数,出版日期,单价,URL
追风筝的人,[美] 卡勒德·胡赛尼 ,8.9,为你，千千万万遍,312816, 2006-5 , 29.00元,https://book.douban.com/subject/1770782/
小王子,[法] 圣埃克苏佩里 ,9.0,献给长成了大人的孩子们,241796, 2003-8 , 22.00元,https://book.douban.com/subject/1084336/
围城,钱锺书 ,8.9,对于“人艰不拆”四个字最彻底的违抗,199088, 1991-2 , 19.00,https://book.douban.com/subject/1008145/
解忧杂货店,[日] 东野圭吾 ,8.6,一碗精心熬制的东野牌鸡汤，拒绝很难,281321, 2014-5 , 39.50元,https://book.douban.com/subject/25862578/
活着,余华 ,9.1,活着本身就是人生最大的意义,145935, 1998-5 , 12.00元,https://book.douban.com/subject/1082154/
白夜行,[日] 东野圭吾 ,9.1,暗夜独行的残破灵魂，爱与恶本就难分难舍,211259, 2008-9 , 29.80元,https://book.douban.com/subject/3259440/
挪威的森林,[日] 村上春树 ,8.0,村上之发轫，多少人的青春启蒙,194597, 2001-2 , 18.80元,https://book.douban.com/subject/1046265/
嫌疑人X的献身,[日] 东野圭吾 ,8.9,数学好是一种极致的浪漫,163331, 2008-9 , 28.00,https://book.douban.com/subject/3211779/
三体,刘慈欣 ,8.8,你我不过都是虫子,167748, 2008-1 , 23.00,https://book.douban.com/subject/2567698/
不能承受的生命之轻,[捷克] 米兰·昆德拉 ,8.5,朝向媚俗的一次伟大的进军,140055, 2003-7 , 23.00元,https://book.douban.com/subject/1017143/
红楼梦,[清] 曹雪芹 著 ,9.6,谁解其中味？,130440, 1996-12 , 59.70元,https://book.douban.com/subject/1007305/
梦里花落知多少,郭敬明 ,7.1,只是青春留下的余烬,149819, 2003-11 , 20.00元,https://book.douban.com/subject/1016300/
达·芬奇密码,[美] 丹·布朗 ,8.2,一切畅销的因素都有了,131720, 2004-2 , 28.00元,https://book.douban.com/subject/1040771/
看见,柴静 ,8.8,在这里看见中国,130491, 2013-1-1 , 39.80元,https://book.douban.com/subject/20427187/
百年孤独,[哥伦比亚] 加西亚·马尔克斯 ,9.2,尼采所谓的永劫复归，一场无始无终的梦魇,130636, 2011-6 , 39.50元,https://book.douban.com/subject/6082808/
1988：我想和这个世界谈谈,韩寒 ,7.9,车手韩寒的公路小说,123925, 2010-9 , 25.00元,https://book.douban.com/subject/5275059/
何以笙箫默,顾漫 ,7.8,倒追有风险，入行需谨慎,121964, 2007-4 , 15.00元,https://book.douban.com/subject/1461903/
平凡的世界（全三部）,路遥 ,9.0,中国当代城乡生活全景,107832, 2005-1 , 64.00元,https://book.douban.com/subject/1200840/
简爱（英文全本）,[英] 夏洛蒂·勃朗特 ,8.5,灰姑娘在十九世纪,112434, 2003-11 , 18.00元,https://book.douban.com/subject/1141406/
哈利·波特与魔法石,[英] J. K. 罗琳 ,9.0,羽加迪姆勒维奥萨！,90844, 2000-9 , 19.50元,https://book.douban.com/subject/1041007/
白夜行,东野圭吾 ,9.2,封面剧透,112804, 2013-1-1 , 39.50元,https://book.douban.com/subject/10554308/
三体Ⅱ,刘慈欣 ,9.3,无边的黑暗森林，比第一部更为恢弘壮丽,99334, 2008-5 , 32.00,https://book.douban.com/subject/3066477/
飘,[美国] 玛格丽特·米切尔 ,9.3,革命时期的爱情，随风而逝,82671, 2000-9 , 40.00元,https://book.douban.com/subject/1068920/
送你一颗子弹,刘瑜 ,8.6,犀利又温柔，穿过胸口隐隐作痛,92870, 2010-1 , 25.00元,https://book.douban.com/subject/4238362/
三体Ⅲ,刘慈欣 ,9.2,终章，何去何从,98720, 2010-11 , 38.00元,https://book.douban.com/subject/5363767/
天才在左 疯子在右,高铭 ,8.2,简称“疯癫与文明”,97975, 2010-2 , 29.80元,https://book.douban.com/subject/4242172/
傲慢与偏见,[英] 奥斯丁 ,8.8,所有现代言情小说的母体,89253, 1993-7 , 13.00元,https://book.douban.com/subject/1083428/
倾城之恋,张爱玲 ,8.5,一段姻缘，需要一座城的倾覆来成全,91576, 1997-3-1 , 11.00,https://book.douban.com/subject/1090043/
三重门,韩寒 ,7.4,“我是金子，我要发光的”,97695, 2000-5 , 16.00,https://book.douban.com/subject/1026425/
杜拉拉升职记,李可 ,7.8,职场丛林生存手册,90142, 2007-9 , 26.00元,https://book.douban.com/subject/2256039/
明朝那些事儿（壹）,当年明月 ,8.7,历史本就是一件件“事儿”拼成的,86873, 2006-9 , 24.80,https://book.douban.com/subject/1873231/
哈利·波特与阿兹卡班的囚徒,[英] J. K. 罗琳 ,8.9,小天狼星布莱克,75942, 2000-9 , 26.50元,https://book.douban.com/subject/1071241/
目送,龙应台 ,8.7,不必追,86249, 2009-10 , 39.00元,https://book.douban.com/subject/3995526/
情人,[法] 玛格丽特·杜拉斯 ,8.1,我已经老了，你呢？,89355, 2005-7 , 20.00元,https://book.douban.com/subject/1400705/
哈利·波特与密室,[英] J. K. 罗琳 ,8.9,渐入佳境，魔法世界全貌初现,73487, 2000-9 , 22.00元,https://book.douban.com/subject/1039487/
万历十五年,[美] 黄仁宇 ,8.9,见微知著，历史观的颠覆,66478, 1997-5 , 18.00元,https://book.douban.com/subject/1041482/
我们仨,杨绛 ,8.7,平淡，坚忍，温情,87251, 2003-7 , 18.80元,https://book.douban.com/subject/1023045/
幻城,郭敬明 ,7.0,如今的小四已经无法评价，往事犹可追,92468, 2003-1 , 28.00元,https://book.douban.com/subject/1059406/
致我们终将逝去的青春,辛夷坞 ,7.8,青春总是用残忍的方式提醒你它已退场,82972, 2007-8 , 25.00元,https://book.douban.com/subject/2209098/
1Q84 BOOK 1,[日] 村上春树 ,8.3,村上的野望，欢迎来到1Q84年,80867, 2010-5 , 36.00元,https://book.douban.com/subject/4742918/
狼图腾,姜戎 ,8.3,我们都是 狼的传人？,80917, 2004-4 , 32.00元,https://book.douban.com/subject/1022060/
微微一笑很倾城,顾漫 ,8.0,一场盛大的意淫,80597, 2009-8 , 25.00,https://book.douban.com/subject/3879301/
独唱团（第一辑）,韩寒 主编 ,7.8,独唱的人多了，也便成了团,80757, 2010-7-6 , 16.00元,https://book.douban.com/subject/4886245/
莲花,安妮宝贝 ,8.0,三个生命的交逢，灵魅清冷,78747, 2006-3 , 25.00元,https://book.douban.com/subject/1529893/
哈利·波特与火焰杯,[英] J. K. 罗琳 ,9.0,整个系列的分水岭，暗色渐浓,73623, 2001-5 , 39.80元,https://book.douban.com/subject/1009257/
边城,沈从文 ,8.6,如水一般的忧愁与怅惘,74841, 2002-4 , 12.00元,https://book.douban.com/subject/1057244/
月亮和六便士,[英] 毛姆 ,9.0,有多少人会经历顿悟，就有更少的人甘愿自我放逐,78633, 2006-8 , 15.00元,https://book.douban.com/subject/1858513/
向左走·向右走,幾米 ,8.4,两条平行线相遇的可能,72102, 2002-8 , 16.00元,https://book.douban.com/subject/1066462/
活着,余华 ,9.3,生的苦难与伟大,91389, 2012-8 , 20.00元,https://book.douban.com/subject/4913064/
穆斯林的葬礼,霍达 ,8.2,时代烙印鲜明的民族史诗,75007, 1988-12-1 , 32.00,https://book.douban.com/subject/1082334/
从你的全世界路过,张嘉佳 ,7.1,戳中了现代人的某些柔软之处,83427, 2013-11-1 , CNY 39.80,https://book.douban.com/subject/25747921/
悲伤逆流成河,郭敬明 ,6.2,少年不识愁滋味,87298, 2007-5 , 24.00元,https://book.douban.com/subject/2062200/
恶意,[日] 东野圭吾 ,8.4,无缘由的恨，冰冷彻骨,77445, 2009-6 , 18.00,https://book.douban.com/subject/3646172/
天龙八部,金庸 ,9.1,“有情皆孽，无人不冤”,58765, 1994-5 , 96.0,https://book.douban.com/subject/1255625/
放学后,[日]东野圭吾 ,7.6,东野圭吾处女作,81300, 2010-1 , 20.00元,https://book.douban.com/subject/4074636/
Harry Potter and the Deathly Hallows,J.K.Rowling ,8.9,final episode,7320, 2007-7-21 , 34.99美元,https://book.douban.com/subject/1975797/
长安乱,韩寒 ,7.4,韩少也会借古喻今了,75053, 2004-8 , 20.00元,https://book.douban.com/subject/1049219/
哈利·波特与混血王子,[英] J. K. 罗琳 ,8.8,感情线纷乱的一部。再见邓布利多,64457, 2005-10 , 58.00元,https://book.douban.com/subject/1432596/
一个人的好天气,[日] 青山七惠 ,7.6,冬日暖阳的温煦感,73527, 2007-9 , 15.00元,https://book.douban.com/subject/2250587/
苏菲的世界,（挪威）乔斯坦·贾德 ,8.5,最平易近人的哲学入门,65045, 1999-04 , 26.80元,https://book.douban.com/subject/1045818/
许三观卖血记,余华 ,8.7,余华的悲凉，都在那一碗炒猪肝里了,67747, 1998-9 , 16.80元,https://book.douban.com/subject/1029791/
1995-2005夏至未至,郭敬明 ,7.3,当青春遁入歧途,69534, 2005-2 , 24.00元,https://book.douban.com/subject/1049189/
撒哈拉的故事,三毛 ,9.0,关于漂泊的一切,64813, 1976 , 160 TWD,https://book.douban.com/subject/1361264/
盗墓笔记,南派三叔 ,8.3,想象奇诡的大型RPG游戏,65708, 2007-1 , 26.80元,https://book.douban.com/subject/1948901/
